epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.02716,0.71813,0.39216,1,0.69336,0.00020004,0.00020004,0.00020004
2,9.3345,0.69147,0.60784,1,0.67741,0.000412624,0.000412624,0.000412624
3,13.1237,0.64228,0.64706,1,0.612,0.000620917,0.000620917,0.000620917
4,16.6618,0.69504,0.37255,1,0.98053,0.00082492,0.00082492,0.00082492
5,20.1445,0.72705,0.56863,1,0.70179,0.00102463,0.00102463,0.00102463
6,23.7587,0.66164,0.4902,1,0.92975,0.00122005,0.00122005,0.00122005
7,27.7119,0.6543,0.62745,1,0.70993,0.00141118,0.00141118,0.00141118
8,31.638,0.64284,0.70588,1,0.64182,0.00155148,0.00155148,0.00155148
9,35.2921,0.63444,0.72549,1,0.5664,0.00153497,0.00153497,0.00153497
10,38.92,0.61586,0.76471,1,0.61582,0.00151847,0.00151847,0.00151847
11,42.7695,0.64582,0.72549,1,0.59685,0.00150197,0.00150197,0.00150197
12,46.3746,0.61853,0.72549,1,0.62581,0.00148546,0.00148546,0.00148546
13,49.8787,0.60421,0.76471,1,0.51192,0.00146896,0.00146896,0.00146896
14,53.1716,0.5931,0.78431,1,0.57179,0.00145246,0.00145246,0.00145246
15,56.5352,0.59757,0.68627,1,0.68443,0.00143595,0.00143595,0.00143595
16,60.1344,0.60758,0.62745,1,0.66031,0.00141945,0.00141945,0.00141945
17,63.5435,0.62165,0.72549,1,0.53103,0.00140295,0.00140295,0.00140295
18,66.9573,0.59404,0.78431,1,0.43895,0.00138644,0.00138644,0.00138644
19,70.461,0.57482,0.78431,1,0.45729,0.00136994,0.00136994,0.00136994
20,73.8433,0.59334,0.86275,1,0.42155,0.00135344,0.00135344,0.00135344
21,77.2488,0.59475,0.80392,1,0.43908,0.00133693,0.00133693,0.00133693
22,80.6593,0.59169,0.60784,1,0.98637,0.00132043,0.00132043,0.00132043
23,83.8758,0.55482,0.76471,1,0.61104,0.00130393,0.00130393,0.00130393
24,87.1255,0.56929,0.70588,1,0.54963,0.00128742,0.00128742,0.00128742
25,90.5452,0.57594,0.72549,1,0.56445,0.00127092,0.00127092,0.00127092
26,93.9145,0.59004,0.70588,1,0.66082,0.00125442,0.00125442,0.00125442
27,97.199,0.58137,0.72549,1,0.57332,0.00123791,0.00123791,0.00123791
28,100.496,0.52986,0.78431,1,0.55343,0.00122141,0.00122141,0.00122141
29,103.727,0.56526,0.82353,1,0.456,0.00120491,0.00120491,0.00120491
30,106.991,0.55766,0.82353,1,0.37388,0.0011884,0.0011884,0.0011884
31,110.266,0.56165,0.80392,1,0.4843,0.0011719,0.0011719,0.0011719
32,113.579,0.54031,0.80392,1,0.4214,0.0011554,0.0011554,0.0011554
33,116.775,0.56396,0.82353,1,0.4925,0.00113889,0.00113889,0.00113889
34,120.002,0.5036,0.82353,1,0.41791,0.00112239,0.00112239,0.00112239
35,123.241,0.53579,0.82353,1,0.365,0.00110589,0.00110589,0.00110589
36,126.505,0.56787,0.80392,1,0.40126,0.00108938,0.00108938,0.00108938
37,129.85,0.55705,0.80392,1,0.38065,0.00107288,0.00107288,0.00107288
38,133.443,0.54396,0.80392,1,0.43113,0.00105638,0.00105638,0.00105638
39,137.267,0.55188,0.82353,1,0.47972,0.00103987,0.00103987,0.00103987
40,141.176,0.52228,0.70588,1,0.65956,0.00102337,0.00102337,0.00102337
41,145.115,0.56589,0.78431,1,0.57884,0.00100687,0.00100687,0.00100687
42,149.197,0.51916,0.80392,1,0.5478,0.000990365,0.000990365,0.000990365
43,153.924,0.53613,0.82353,1,0.4676,0.000973861,0.000973861,0.000973861
44,157.821,0.48952,0.84314,1,0.38223,0.000957358,0.000957358,0.000957358
45,161.779,0.47507,0.72549,1,0.61296,0.000940855,0.000940855,0.000940855
46,165.74,0.50709,0.70588,1,0.61741,0.000924352,0.000924352,0.000924352
47,169.804,0.52151,0.72549,1,0.59816,0.000907848,0.000907848,0.000907848
48,173.606,0.53563,0.82353,1,0.49129,0.000891345,0.000891345,0.000891345
49,177.311,0.46322,0.84314,1,0.47388,0.000874842,0.000874842,0.000874842
50,181.509,0.53375,0.84314,1,0.50637,0.000858338,0.000858338,0.000858338
51,185.45,0.5472,0.82353,1,0.72968,0.000841835,0.000841835,0.000841835
52,189.266,0.46863,0.78431,1,0.81014,0.000825332,0.000825332,0.000825332
53,193.02,0.50432,0.80392,1,0.62668,0.000808828,0.000808828,0.000808828
54,196.777,0.55713,0.90196,1,0.52313,0.000792325,0.000792325,0.000792325
55,200.496,0.49935,0.88235,1,0.44612,0.000775822,0.000775822,0.000775822
56,204.209,0.47706,0.84314,1,0.42839,0.000759318,0.000759318,0.000759318
57,207.912,0.50263,0.82353,1,0.49648,0.000742815,0.000742815,0.000742815
58,211.59,0.48768,0.76471,1,0.94161,0.000726312,0.000726312,0.000726312
59,215.284,0.44987,0.78431,1,0.66724,0.000709809,0.000709809,0.000709809
60,219.006,0.52293,0.82353,1,0.59058,0.000693305,0.000693305,0.000693305
61,222.687,0.4754,0.80392,1,0.58641,0.000676802,0.000676802,0.000676802
62,226.441,0.4787,0.7451,1,0.53034,0.000660299,0.000660299,0.000660299
63,230.232,0.47184,0.78431,1,0.52946,0.000643795,0.000643795,0.000643795
64,233.876,0.52917,0.82353,1,0.50147,0.000627292,0.000627292,0.000627292
65,237.624,0.52374,0.80392,1,0.58849,0.000610789,0.000610789,0.000610789
66,241.645,0.54103,0.80392,1,0.56059,0.000594286,0.000594286,0.000594286
67,245.669,0.49256,0.78431,1,0.61973,0.000577782,0.000577782,0.000577782
68,249.564,0.51098,0.82353,1,0.56739,0.000561279,0.000561279,0.000561279
69,253.516,0.52219,0.7451,1,0.58676,0.000544776,0.000544776,0.000544776
70,257.668,0.45384,0.84314,1,0.4592,0.000528272,0.000528272,0.000528272
71,261.355,0.45642,0.84314,1,0.52133,0.000511769,0.000511769,0.000511769
72,265.108,0.54417,0.82353,1,0.88269,0.000495266,0.000495266,0.000495266
73,268.736,0.48946,0.80392,1,0.70874,0.000478762,0.000478762,0.000478762
74,272.596,0.52175,0.82353,1,0.61469,0.000462259,0.000462259,0.000462259
75,275.957,0.51763,0.82353,1,0.46897,0.000445756,0.000445756,0.000445756
76,279.32,0.51631,0.82353,1,0.4858,0.000429253,0.000429253,0.000429253
77,282.736,0.46116,0.84314,1,0.51073,0.000412749,0.000412749,0.000412749
78,286.003,0.47958,0.86275,1,0.61419,0.000396246,0.000396246,0.000396246
79,289.36,0.50488,0.86275,1,0.51397,0.000379743,0.000379743,0.000379743
80,292.643,0.45724,0.86275,1,0.51998,0.000363239,0.000363239,0.000363239
81,295.847,0.45491,0.86275,1,0.53534,0.000346736,0.000346736,0.000346736
82,299.095,0.42086,0.82353,1,0.52919,0.000330233,0.000330233,0.000330233
83,302.427,0.41051,0.80392,1,0.5499,0.000313729,0.000313729,0.000313729
84,305.742,0.43283,0.82353,1,0.5547,0.000297226,0.000297226,0.000297226
85,309.182,0.43718,0.82353,1,0.50245,0.000280723,0.000280723,0.000280723
86,312.524,0.46689,0.80392,1,0.63223,0.00026422,0.00026422,0.00026422
87,315.81,0.43107,0.84314,1,0.55332,0.000247716,0.000247716,0.000247716
88,319.122,0.47056,0.84314,1,0.54896,0.000231213,0.000231213,0.000231213
89,322.388,0.39481,0.82353,1,0.42705,0.00021471,0.00021471,0.00021471
90,325.698,0.38292,0.84314,1,0.45733,0.000198206,0.000198206,0.000198206
91,328.923,0.43735,0.84314,1,0.6152,0.000181703,0.000181703,0.000181703
92,332.19,0.5018,0.84314,1,0.52207,0.0001652,0.0001652,0.0001652
93,335.506,0.43953,0.84314,1,0.40739,0.000148696,0.000148696,0.000148696
94,338.73,0.47393,0.84314,1,0.51852,0.000132193,0.000132193,0.000132193
95,341.942,0.44711,0.84314,1,0.42625,0.00011569,0.00011569,0.00011569
96,345.234,0.45974,0.84314,1,0.42666,9.91865e-05,9.91865e-05,9.91865e-05
97,348.488,0.36846,0.84314,1,0.45995,8.26832e-05,8.26832e-05,8.26832e-05
98,351.751,0.45785,0.84314,1,0.42519,6.61799e-05,6.61799e-05,6.61799e-05
99,355.018,0.416,0.84314,1,0.46188,4.96766e-05,4.96766e-05,4.96766e-05
100,358.269,0.38429,0.84314,1,0.47964,3.31733e-05,3.31733e-05,3.31733e-05
